STATE,RULE,LOOKAHEAD,ACTION / GOTO,STATE(S) / RULE (R)
"S30","<rel_equal> -> . <rel_equal> <releq_op> <rel_expr>","AND, EQUAL_TO, NOT_EQUAL, OR, SEMICOLON, XOR","Goto (<rel_equal>)","S79"
"S30","<rel_equal> -> . <rel_expr>","AND, EQUAL_TO, NOT_EQUAL, OR, SEMICOLON, XOR","Goto (<rel_expr>)","S70"
"S30","<rel_expr> -> . <rel_expr> <rel_op> <add_expr>","AND, EQUAL_TO, GREATER, GREATER_EQ, LESS, LESS_EQ, NOT_EQUAL, OR, SEMICOLON, XOR","Goto (<rel_expr>)","S70"
"S30","<rel_expr> -> . <add_expr>","AND, EQUAL_TO, GREATER, GREATER_EQ, LESS, LESS_EQ, NOT_EQUAL, OR, SEMICOLON, XOR","Goto (<add_expr>)","S74"
"S30","<add_expr> -> . <add_expr> <add_op> <mult_expr>","AND, EQUAL_TO, GREATER, GREATER_EQ, LESS, LESS_EQ, MINUS, NOT_EQUAL, OR, PLUS, SEMICOLON, XOR","Goto (<add_expr>)","S74"
"S30","<add_expr> -> . <mult_expr>","AND, EQUAL_TO, GREATER, GREATER_EQ, LESS, LESS_EQ, MINUS, NOT_EQUAL, OR, PLUS, SEMICOLON, XOR","Goto (<mult_expr>)","S71"
"S30","<mult_expr> -> . <mult_expr> <mul_op> <unary_expr>","AND, EQUAL_TO, GREATER, GREATER_EQ, LESS, LESS_EQ, MINUS, MOD, NOT_EQUAL, OR, PLUS, SEMICOLON, SLASH, STAR, XOR","Goto (<mult_expr>)","S71"
"S30","<mult_expr> -> . <unary_expr>","AND, EQUAL_TO, GREATER, GREATER_EQ, LESS, LESS_EQ, MINUS, MOD, NOT_EQUAL, OR, PLUS, SEMICOLON, SLASH, STAR, XOR","Goto (<unary_expr>)","S93"
"S30","<pow_expr> -> . <postfix_expr> EXPONENT <pow_expr>","AND, EQUAL_TO, GREATER, GREATER_EQ, LESS, LESS_EQ, MINUS, MOD, NOT_EQUAL, OR, PLUS, SEMICOLON, SLASH, STAR, XOR","Goto (<postfix_expr>)","S76"
"S30","<pow_expr> -> . <postfix_expr>","AND, EQUAL_TO, GREATER, GREATER_EQ, LESS, LESS_EQ, MINUS, MOD, NOT_EQUAL, OR, PLUS, SEMICOLON, SLASH, STAR, XOR","Goto (<postfix_expr>)","S76"
"S30","<unary_expr> -> . <unary_op> <unary_expr>","AND, EQUAL_TO, GREATER, GREATER_EQ, LESS, LESS_EQ, MINUS, MOD, NOT_EQUAL, OR, PLUS, SEMICOLON, SLASH, STAR, XOR","Goto (<unary_op>)","S78"
"S30","<unary_expr> -> . <pow_expr>","AND, EQUAL_TO, GREATER, GREATER_EQ, LESS, LESS_EQ, MINUS, MOD, NOT_EQUAL, OR, PLUS, SEMICOLON, SLASH, STAR, XOR","Goto (<pow_expr>)","S87"
"S30","<postfix_expr> -> . <postfix_expr> INCREMENT","AND, DECREMENT, EQUAL_TO, EXPONENT, GREATER, GREATER_EQ, INCREMENT, LESS, LESS_EQ, MINUS, MOD, NOT_EQUAL, OR, PLUS, SEMICOLON, SLASH, STAR, XOR","Goto (<postfix_expr>)","S76"
"S30","<postfix_expr> -> . <postfix_expr> DECREMENT","AND, DECREMENT, EQUAL_TO, EXPONENT, GREATER, GREATER_EQ, INCREMENT, LESS, LESS_EQ, MINUS, MOD, NOT_EQUAL, OR, PLUS, SEMICOLON, SLASH, STAR, XOR","Goto (<postfix_expr>)","S76"
